"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C31H48O16","protein","aliphatic","aliphatic",0,-0.5161,1.55,0.52,-8,8,-0.2581
"C35H48O13","lignin","unsaturated/lignin","unsaturated/lignin",0.193,-0.6286,1.37,0.37,-1,12,-0.0286
"C32H52O15","protein","aliphatic","aliphatic",-0.0204,-0.6875,1.62,0.47,-8,7,-0.25
"C36H52O12","lignin","unsaturated/lignin","unsaturated/lignin",0.1667,-0.7778,1.44,0.33,-1,11,-0.0278
"C33H56O12S1","protein","aliphatic","aliphatic",-0.0385,-0.9091,1.7,0.36,-7,6,-0.2121
"C33H56O14","protein","aliphatic","aliphatic",-0.0385,-0.8485,1.7,0.42,-8,6,-0.2424
"C37H56O11","lipid","aliphatic","aliphatic",0.1429,-0.9189,1.51,0.3,-1,10,-0.027
"C34H60O13","protein","aliphatic","aliphatic",-0.0545,-1,1.76,0.38,-8,5,-0.2353
"C29H27O18N1","lignin","unsaturated/lignin","unsaturated/lignin",0.3684,0.4138,0.93,0.62,-2,17,-0.069
"C32H39O15N1","lignin","unsaturated/lignin","unsaturated/lignin",0.234,-0.1875,1.22,0.47,-2,14,-0.0625
"C29H26O19","tannin","unsaturated/lignin","unsaturated/lignin",0.3846,0.4138,0.9,0.66,-2,17,-0.069
"C30H30O18","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,0.2,1,0.6,-2,16,-0.0667
"C31H34O17","lignin","unsaturated/lignin","unsaturated/lignin",0.2889,0,1.1,0.55,-2,15,-0.0645
"C32H38O16","lignin","unsaturated/lignin","unsaturated/lignin",0.25,-0.1875,1.19,0.5,-2,14,-0.0625
