"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C22H36O7","protein","aliphatic","aliphatic",0.0811,-1,1.64,0.32,-2,5,-0.0909
"C23H40O6","lipid","aliphatic","aliphatic",0.05,-1.2174,1.74,0.26,-2,4,-0.087
"C21H44O5","lipid","aliphatic","lipid",-0.1351,-1.619,2.1,0.24,-5,0,-0.2381
"C24H44O5","lipid","aliphatic","aliphatic",0.0233,-1.4167,1.83,0.21,-2,3,-0.0833
"C25H48O4","lipid","aliphatic","aliphatic",0,-1.6,1.92,0.16,-2,2,-0.08
"C26H52O3","lipid","aliphatic","lipid",-0.0204,-1.7692,2,0.12,-2,1,-0.0769
"C25H35O4N1","lignin","unsaturated/lignin","unsaturated/lignin",0.2727,-0.96,1.4,0.16,4,9,0.16
"C23H39O3N1","lipid","aliphatic","aliphatic+N",0.122,-1.3043,1.7,0.13,1,5,0.0435
"C24H26O4","lignin","unsaturated/lignin","unsaturated/lignin",0.4545,-0.75,1.08,0.17,8,12,0.3333
"C17H30O9","protein","aliphatic","aliphatic",-0.12,-0.7059,1.76,0.53,-6,3,-0.3529
"C23H26O7","lignin","unsaturated/lignin","unsaturated/lignin",0.3846,-0.5217,1.13,0.3,4,11,0.1739
"C20H30O9","protein","aliphatic","aliphatic",0.0968,-0.6,1.5,0.45,-3,6,-0.15
"C18H34O8","protein","aliphatic","aliphatic",-0.1429,-1,1.89,0.44,-6,2,-0.3333
"C24H30O6","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.75,1.25,0.25,4,10,0.1667
"C21H34O8","protein","aliphatic","aliphatic",0.0588,-0.8571,1.62,0.38,-3,5,-0.1429
"C22H38O7","protein","aliphatic","aliphatic",0.027,-1.0909,1.73,0.32,-3,4,-0.1364
"C20H42O6","protein","aliphatic","lipid",-0.1765,-1.5,2.1,0.3,-6,0,-0.3
"C24H42O3","lipid","aliphatic","aliphatic",0.1111,-1.5,1.75,0.12,1,4,0.0417
"C23H42O6","lipid","aliphatic","aliphatic",0,-1.3043,1.83,0.26,-3,3,-0.1304
"C25H46O2","lipid","aliphatic","aliphatic",0.0833,-1.68,1.84,0.08,1,3,0.04
"C24H46O5","lipid","aliphatic","aliphatic",-0.0233,-1.5,1.92,0.21,-3,2,-0.125
"C28H46O2","lipid","aliphatic","aliphatic",0.1852,-1.5,1.64,0.07,4,6,0.1429
"C25H50O4","lipid","aliphatic","lipid",-0.0435,-1.68,2,0.16,-3,1,-0.12
"C15H25O10N1","amino_sugar","aliphatic","aliphatic+N",-0.2222,-0.1333,1.67,0.67,-7,4,-0.4667
"C25H20O6","lignin","aromatic","aromatic",0.5909,-0.32,0.8,0.24,10,16,0.4
"C17H32O9","protein","aliphatic","aliphatic",-0.2,-0.8235,1.88,0.53,-7,2,-0.4118
"C23H28O7","lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.6087,1.22,0.3,3,10,0.1304
"C20H32O7S1","protein","aliphatic","aliphatic",0.0323,-0.8,1.6,0.35,-3,5,-0.15
"C20H32O9","protein","aliphatic","aliphatic",0.0323,-0.7,1.6,0.45,-4,5,-0.2
"C18H36O8","protein","aliphatic","lipid",-0.2143,-1.1111,2,0.44,-7,1,-0.3889
"C24H32O6","lignin","unsaturated/lignin","unsaturated/lignin",0.2857,-0.8333,1.33,0.25,3,9,0.125
"C21H36O8","protein","aliphatic","aliphatic",0,-0.9524,1.71,0.38,-4,4,-0.1905
"C22H40O7","protein","aliphatic","aliphatic",-0.027,-1.1818,1.82,0.32,-4,3,-0.1818
